mnras_row,mnras_ra,mnras_dec,tile_id,matched,sep_arcsec,src_id,gate_result,gate_failures,eliminating_stage,rejection_reason
3902,341.251280,68.011550,tile_RA341.717_DECp67.752,True,0.488,tile_RA341.717_DECp67.752:11914,GATE_PASS,,S4S,profile_diff=0.1030>0.05;elongation=1.172>1.1
4934,342.202450,42.870472,tile_RA341.808_DECp42.750,True,0.381,tile_RA341.808_DECp42.750:6285,GATE_FAIL,ELONG<1.3;SPREAD>-0.002,,
4356,343.319500,59.502533,tile_RA342.411_DECp59.766,False,124.21,,NO_MATCH,,,"circle_cut (dist_from_center=31.77' pre_sep=0.38"")"
4280,342.867280,60.758034,tile_RA342.411_DECp60.766,True,0.294,tile_RA342.411_DECp60.766:5248,GATE_PASS,,S0M,spread_snr=8.9>5.0
3729,345.207100,72.717000,tile_RA344.383_DECp72.761,False,10.28,,NO_MATCH,,,"not_detected (nearest_pre=10.3"")"
3742,345.257500,72.300590,tile_RA344.383_DECp72.761,False,113.59,,NO_MATCH,,,"circle_cut (dist_from_center=31.80' pre_sep=0.57"")"
4224,345.036960,62.116226,tile_RA344.459_DECp61.766,True,0.493,tile_RA344.459_DECp61.766:3841,GATE_PASS,,S4S,elongation=1.127>1.1;circularity=0.595<0.8
4546,345.402950,55.242330,tile_RA345.257_DECp54.771,True,0.318,tile_RA345.257_DECp54.771:21595,GATE_FAIL,FLAGS==0;ELONG<1.3;SPREAD>-0.002,,
3491,347.456880,79.263820,tile_RA345.869_DECp78.781,False,260.54,,NO_MATCH,,,"circle_cut (dist_from_center=34.18' pre_sep=0.37"")"
3460,343.326840,80.252060,tile_RA345.869_DECp79.781,False,550.95,,NO_MATCH,,,"circle_cut (dist_from_center=38.70' pre_sep=0.73"")"
3966,346.382420,67.213040,tile_RA347.517_DECp66.799,False,402.73,,NO_MATCH,,,"circle_cut (dist_from_center=36.39' pre_sep=0.51"")"
4003,347.699250,66.603520,tile_RA347.517_DECp66.799,True,0.133,tile_RA347.517_DECp66.799:3534,GATE_PASS,,S4S,profile_diff=0.0625>0.05;elongation=1.145>1.1;circularity=0.630<0.8
4842,348.060120,47.671368,tile_RA348.671_DECp47.793,True,0.246,tile_RA348.671_DECp47.793:4862,GATE_FAIL,FLAGS==0;SPREAD>-0.002,,
4768,348.512970,49.921936,tile_RA348.671_DECp49.793,True,0.331,tile_RA348.671_DECp49.793:8895,GATE_PASS,,S0M,spread_snr=5.3>5.0
4573,349.116060,54.934330,tile_RA349.737_DECp54.800,True,0.877,tile_RA349.737_DECp54.800:13821,GATE_FAIL,FLAGS==0,,
4122,35.677494,58.567100,tile_RA35.656_DECp58.667,True,0.390,tile_RA35.656_DECp58.667:6127,GATE_PASS,,S4S,circularity=0.410<0.8
3965,35.014862,62.655415,tile_RA35.656_DECp62.667,True,0.126,tile_RA35.656_DECp62.667:6221,GATE_FAIL,ELONG<1.3,,
4815,36.273320,36.249588,tile_RA35.960_DECp36.652,True,0.136,tile_RA35.960_DECp36.652:383,GATE_FAIL,SPREAD>-0.002,,
4063,351.194500,65.602970,tile_RA350.055_DECp65.799,False,39.57,,NO_MATCH,,,"circle_cut (dist_from_center=30.49' pre_sep=0.12"")"
3990,350.256770,66.967430,tile_RA350.055_DECp66.799,True,0.317,tile_RA350.055_DECp66.799:7750,GATE_PASS,,S4S,elongation=1.183>1.1;circularity=0.764<0.8
4874,349.551000,46.651608,tile_RA350.189_DECp46.793,True,0.237,tile_RA350.189_DECp46.793:3755,GATE_FAIL,SNR_WIN>30,,
4851,349.631100,47.630440,tile_RA350.189_DECp47.793,True,0.413,tile_RA350.189_DECp47.793:3930,GATE_FAIL,SPREAD>-0.002,,
4793,349.632200,49.276844,tile_RA350.189_DECp48.793,False,383.91,,NO_MATCH,,,"circle_cut (dist_from_center=36.37' pre_sep=0.48"")"
4617,351.270720,54.262220,tile_RA351.472_DECp53.800,True,0.316,tile_RA351.472_DECp53.800:18743,GATE_FAIL,SPREAD>-0.002,,
4404,352.107150,59.556137,tile_RA351.630_DECp59.801,True,0.506,tile_RA351.630_DECp59.801:3474,GATE_FAIL,SPREAD>-0.002,,
4352,351.882350,60.634020,tile_RA351.630_DECp60.801,True,0.441,tile_RA351.630_DECp60.801:5595,GATE_FAIL,ELONG<1.3,,
4360,351.200130,60.418972,tile_RA351.630_DECp60.801,True,0.459,tile_RA351.630_DECp60.801:1890,GATE_FAIL,FLAGS==0;ELONG<1.3;SPREAD>-0.002,,
4849,351.984220,48.013290,tile_RA351.707_DECp47.793,True,0.509,tile_RA351.707_DECp47.793:8660,GATE_PASS,,S4S,circularity=0.239<0.8
4821,351.140960,48.708950,tile_RA351.707_DECp48.793,True,0.383,tile_RA351.707_DECp48.793:5267,GATE_FAIL,SPREAD>-0.002,,
4782,352.227300,49.965890,tile_RA351.707_DECp49.793,True,0.564,tile_RA351.707_DECp49.793:9758,GATE_FAIL,SPREAD>-0.002,,
4119,353.338070,64.798515,tile_RA352.593_DECp64.799,True,0.422,tile_RA352.593_DECp64.799:6821,GATE_FAIL,ELONG<1.3,,
4059,352.703200,65.799126,tile_RA352.593_DECp65.799,True,0.346,tile_RA352.593_DECp65.799:3823,GATE_PASS,,S4S,elongation=1.272>1.1;circularity=0.079<0.8
4040,353.840600,66.432686,tile_RA352.593_DECp66.799,False,425.17,,NO_MATCH,,,"not_detected (nearest_pre=10.9"")"
3904,353.269740,69.052050,tile_RA352.593_DECp68.799,True,0.605,tile_RA352.593_DECp68.799:8419,GATE_FAIL,FLAGS==0,,
5026,352.852940,41.668934,tile_RA352.909_DECp41.802,True,0.176,tile_RA352.909_DECp41.802:2273,GATE_FAIL,SPREAD>-0.002,,
4985,352.926360,43.827408,tile_RA352.909_DECp43.802,True,0.595,tile_RA352.909_DECp43.802:3985,GATE_FAIL,ELONG<1.3,,
4429,354.014980,59.067880,tile_RA353.680_DECp58.801,True,0.315,tile_RA353.680_DECp58.801:11632,GATE_PASS,,S0M,spread_snr=44.6>5.0
4343,353.789340,60.937820,tile_RA353.680_DECp60.801,True,0.538,tile_RA353.680_DECp60.801:9197,GATE_FAIL,ELONG<1.3;SPREAD>-0.002,,
4346,352.846200,60.860770,tile_RA353.680_DECp60.801,True,0.574,tile_RA353.680_DECp60.801:7935,GATE_PASS,,S0M,spread_snr=13.0>5.0
4366,354.622680,60.521233,tile_RA353.680_DECp60.801,False,156.73,,NO_MATCH,,,"circle_cut (dist_from_center=32.40' pre_sep=0.55"")"
4313,353.515800,61.338615,tile_RA353.680_DECp61.801,True,0.594,tile_RA353.680_DECp61.801:768,GATE_FAIL,SNR_WIN>30,,
4988,353.970180,43.889310,tile_RA354.272_DECp43.802,True,0.416,tile_RA354.272_DECp43.802:4408,GATE_PASS,,S0M,spread_snr=23.9>5.0
4944,354.760160,45.276290,tile_RA354.272_DECp44.802,False,317.40,,NO_MATCH,,,"circle_cut (dist_from_center=35.19' pre_sep=0.59"")"
4666,355.002620,53.749676,tile_RA354.942_DECp53.800,True,0.983,tile_RA354.942_DECp53.800:7698,GATE_FAIL,ELONG<1.3,,
3958,354.490200,67.957855,tile_RA355.132_DECp67.799,True,1.028,tile_RA355.132_DECp67.799:6273,GATE_FAIL,FLAGS==0,,
3964,357.791380,67.890560,tile_RA356.612_DECp67.828,False,19.42,,NO_MATCH,,,"not_detected (nearest_pre=19.4"")"
4629,356.572970,54.435490,tile_RA356.676_DECp54.800,True,0.820,tile_RA356.676_DECp54.800:2454,GATE_FAIL,FLAGS==0;ELONG<1.3;SPREAD>-0.002,,
4848,357.646420,48.486305,tile_RA357.305_DECp48.807,True,0.125,tile_RA357.305_DECp48.807:1966,GATE_FAIL,ELONG<1.3,,
3964,357.791380,67.890560,tile_RA357.670_DECp67.799,True,0.453,tile_RA357.670_DECp67.799:4386,GATE_FAIL,SPREAD>-0.002,,
3805,357.346130,71.487434,tile_RA358.516_DECp71.807,True,0.444,tile_RA358.516_DECp71.807:2445,GATE_FAIL,2<FWHM<7,,
3806,357.031500,71.473816,tile_RA358.516_DECp71.807,False,269.67,,NO_MATCH,,,"circle_cut (dist_from_center=34.45' pre_sep=0.66"")"
3805,357.346130,71.487434,tile_RA358.763_DECp71.807,False,198.16,,NO_MATCH,,,"not_detected (nearest_pre=21.4"")"
4892,358.353270,47.101852,tile_RA358.824_DECp46.807,True,0.294,tile_RA358.824_DECp46.807:7987,GATE_FAIL,SPREAD>-0.002,,
4904,359.511320,46.890090,tile_RA358.824_DECp46.807,True,0.096,tile_RA358.824_DECp46.807:5216,GATE_PASS,,S4S,elongation=1.244>1.1;circularity=0.772<0.8
4869,358.271640,47.849884,tile_RA358.824_DECp47.807,True,0.511,tile_RA358.824_DECp47.807:4724,GATE_FAIL,FLAGS==0;ELONG<1.3,,
4071,359.272700,65.713740,tile_RA359.154_DECp65.828,True,0.239,tile_RA359.154_DECp65.828:2830,GATE_FAIL,FLAGS==0;SPREAD>-0.002,,
4811,36.940094,35.801453,tile_RA37.207_DECp35.652,True,0.726,tile_RA37.207_DECp35.652:3069,GATE_FAIL,SPREAD>-0.002,,
4749,38.203472,37.424362,tile_RA38.453_DECp37.652,True,0.623,tile_RA38.453_DECp37.652:1460,GATE_FAIL,SPREAD>-0.002,,
4656,38.245820,41.721836,tile_RA38.457_DECp41.630,True,0.184,tile_RA38.457_DECp41.630:5420,GATE_FAIL,SPREAD>-0.002,,
3765,40.606377,66.594690,tile_RA39.533_DECp66.614,True,0.666,tile_RA39.533_DECp66.614:4071,GATE_PASS,,S4S,elongation=1.187>1.1;circularity=0.216<0.8
4716,39.864357,36.988377,tile_RA39.700_DECp36.652,True,0.908,tile_RA39.700_DECp36.652:3330,GATE_FAIL,SPREAD>-0.002,,
4069,4.140677,65.677080,tile_RA4.236_DECp65.828,True,0.636,tile_RA4.236_DECp65.828:2591,GATE_PASS,,S0M,spread_snr=17.5>5.0
5139,4.417573,36.381370,tile_RA4.365_DECp36.807,True,0.821,tile_RA4.365_DECp36.807:408,GATE_PASS,,S4S,profile_diff=0.0617>0.05;circularity=0.699<0.8
5140,3.902086,36.376050,tile_RA4.365_DECp36.807,False,256.74,,NO_MATCH,,,"circle_cut (dist_from_center=34.15' pre_sep=0.40"")"
3451,41.352660,78.410750,tile_RA40.700_DECp78.536,True,0.749,tile_RA40.700_DECp78.536:2541,GATE_FAIL,SPREAD>-0.002,,
4370,41.977493,48.750324,tile_RA41.960_DECp48.583,True,0.143,tile_RA41.960_DECp48.583:8710,GATE_FAIL,SPREAD>-0.002,,
4111,42.924570,54.992653,tile_RA42.296_DECp54.625,False,66.20,,NO_MATCH,,,"circle_cut (dist_from_center=30.97' pre_sep=0.68"")"
4388,43.181900,47.324420,tile_RA43.471_DECp47.583,True,0.216,tile_RA43.471_DECp47.583:2612,GATE_FAIL,SPREAD>-0.002,,
4303,43.767937,49.038680,tile_RA43.471_DECp48.583,True,0.174,tile_RA43.471_DECp48.583:9574,GATE_FAIL,SPREAD>-0.002,,
4665,44.400500,34.502106,tile_RA44.262_DECp34.589,True,0.257,tile_RA44.262_DECp34.589:2577,GATE_PASS,,S4S,circularity=0.692<0.8
4657,44.043365,35.354210,tile_RA44.262_DECp35.589,True,0.203,tile_RA44.262_DECp35.589:1171,GATE_PASS,,SURVIVOR,
3683,44.768080,68.095250,tile_RA44.572_DECp67.614,True,0.954,tile_RA44.572_DECp67.614:3070,GATE_PASS,,PRE_S0,not_in_stage_S0
3693,43.727770,68.059830,tile_RA44.572_DECp67.614,False,184.39,,NO_MATCH,,,"circle_cut (dist_from_center=32.87' pre_sep=0.79"")"
4236,45.125134,49.771446,tile_RA44.983_DECp49.583,True,0.363,tile_RA44.983_DECp49.583:8238,GATE_FAIL,SPREAD>-0.002,,
4243,44.777250,49.804688,tile_RA44.983_DECp49.583,True,0.730,tile_RA44.983_DECp49.583:8588,GATE_FAIL,SPREAD>-0.002,,
4010,47.558110,54.670048,tile_RA46.755_DECp54.531,True,0.415,tile_RA46.755_DECp54.531:7564,GATE_FAIL,SPREAD>-0.002,,
4441,46.887520,41.011550,tile_RA47.387_DECp40.559,False,339.89,,NO_MATCH,,,"circle_cut (dist_from_center=35.39' pre_sep=0.33"")"
4448,46.749720,41.055702,tile_RA47.387_DECp40.559,False,722.35,,NO_MATCH,,,"circle_cut (dist_from_center=41.54' pre_sep=0.54"")"
3994,49.108852,53.834430,tile_RA48.478_DECp53.531,True,0.698,tile_RA48.478_DECp53.531:8009,GATE_FAIL,SPREAD>-0.002,,
3918,52.273550,54.135365,tile_RA51.925_DECp54.531,True,0.877,tile_RA51.925_DECp54.531:1080,GATE_PASS,,S0M,spread_snr=9.3>5.0
4116,51.651650,47.096783,tile_RA52.063_DECp47.494,True,0.688,tile_RA52.063_DECp47.494:1234,GATE_PASS,,PRE_S0,not_in_stage_S0
4044,52.690495,48.549520,tile_RA52.063_DECp48.494,True,0.163,tile_RA52.063_DECp48.494:6222,GATE_PASS,,S0M,spread_snr=6.1>5.0
4094,52.985317,46.079390,tile_RA53.572_DECp46.494,False,294.42,,NO_MATCH,,,"circle_cut (dist_from_center=34.79' pre_sep=0.66"")"
3981,53.173916,50.391933,tile_RA53.572_DECp50.494,True,0.164,tile_RA53.572_DECp50.494:5596,GATE_PASS,,S4S,elongation=1.160>1.1;circularity=0.615<0.8
3957,55.436573,48.828280,tile_RA55.081_DECp48.494,True,0.427,tile_RA55.081_DECp48.494:11365,GATE_PASS,,S4S,elongation=1.253>1.1
3643,54.466250,65.317380,tile_RA55.334_DECp65.478,True,0.651,tile_RA55.334_DECp65.478:3077,GATE_FAIL,SPREAD>-0.002,,
4123,58.548492,35.715904,tile_RA58.354_DECp35.438,True,0.346,tile_RA58.354_DECp35.438:4557,GATE_PASS,,S4S,elongation=1.142>1.1;circularity=0.771<0.8
4117,57.948270,37.177677,tile_RA58.354_DECp37.438,True,0.198,tile_RA58.354_DECp37.438:1802,GATE_PASS,,S4S,circularity=0.539<0.8
3860,58.964730,48.688828,tile_RA59.133_DECp48.394,True,0.055,tile_RA59.133_DECp48.394:11303,GATE_FAIL,SPREAD>-0.002,,
4099,58.988853,35.732018,tile_RA59.597_DECp35.438,False,280.92,,NO_MATCH,,,"circle_cut (dist_from_center=34.52' pre_sep=0.47"")"
4066,59.506424,36.182407,tile_RA59.597_DECp36.438,True,0.246,tile_RA59.597_DECp36.438:1224,GATE_FAIL,SPREAD>-0.002,,
5011,6.987226,42.453407,tile_RA6.740_DECp42.798,True,0.860,tile_RA6.740_DECp42.798:931,GATE_PASS,,PRE_S0,not_in_stage_S0
3962,7.879931,67.704110,tile_RA6.778_DECp67.828,True,0.411,tile_RA6.778_DECp67.828:4851,GATE_PASS,,S0M,fwhm_ratio=1.721>1.5;spread_snr=92.1>5.0
3974,7.545218,67.549830,tile_RA6.778_DECp67.828,True,0.241,tile_RA6.778_DECp67.828:2944,GATE_FAIL,SPREAD>-0.002,,
3989,61.371758,36.419773,tile_RA60.840_DECp36.438,False,36.13,,NO_MATCH,,,"not_detected (nearest_pre=36.1"")"
3892,61.691160,42.404346,tile_RA61.145_DECp42.388,True,0.287,tile_RA61.145_DECp42.388:5902,GATE_FAIL,SPREAD>-0.002,,
3875,61.744587,43.099693,tile_RA61.145_DECp43.388,False,103.71,,NO_MATCH,,,"circle_cut (dist_from_center=31.40' pre_sep=0.28"")"
3745,62.199830,50.692150,tile_RA62.145_DECp50.394,True,0.405,tile_RA62.145_DECp50.394:7730,GATE_FAIL,SPREAD>-0.002,,
3877,62.040910,42.445534,tile_RA62.498_DECp42.388,True,0.272,tile_RA62.498_DECp42.388:6857,GATE_PASS,,S0M,spread_snr=16.9>5.0
3819,63.046850,44.619427,tile_RA62.498_DECp44.388,True,0.629,tile_RA62.498_DECp44.388:10085,GATE_FAIL,SPREAD>-0.002,,
3931,63.225890,36.350662,tile_RA62.905_DECp36.351,True,0.362,tile_RA62.905_DECp36.351:4516,GATE_FAIL,SPREAD>-0.002,,
3671,63.572290,54.877823,tile_RA63.248_DECp54.423,True,0.486,tile_RA63.248_DECp54.423:9328,GATE_FAIL,SNR_WIN>30,,
3741,64.334460,47.299680,tile_RA63.651_DECp47.394,True,0.831,tile_RA63.651_DECp47.394:4741,GATE_PASS,,S0M,fwhm_ratio=1.535>1.5;spread_snr=12.2>5.0
3842,63.243404,42.580715,tile_RA63.852_DECp42.388,True,0.176,tile_RA63.852_DECp42.388:7852,GATE_PASS,,SURVIVOR,
3798,64.469590,43.137638,tile_RA63.852_DECp43.388,False,53.75,,NO_MATCH,,,"circle_cut (dist_from_center=30.88' pre_sep=0.42"")"
3927,63.751377,35.254417,tile_RA64.147_DECp35.351,True,0.187,tile_RA64.147_DECp35.351:3072,GATE_PASS,,S4S,circularity=0.786<0.8
3882,63.947853,37.788773,tile_RA64.147_DECp37.351,True,0.288,tile_RA64.147_DECp37.351:6181,GATE_PASS,,S4S,elongation=1.152>1.1
3859,65.162970,35.948586,tile_RA65.388_DECp36.351,True,0.306,tile_RA65.388_DECp36.351:695,GATE_PASS,,S0M,spread_snr=8.2>5.0
3839,65.610210,36.972565,tile_RA65.388_DECp37.351,True,0.376,tile_RA65.388_DECp37.351:706,GATE_PASS,,S4S,elongation=1.153>1.1
3463,65.485340,66.611150,tile_RA66.046_DECp66.318,True,0.052,tile_RA66.046_DECp66.318:7788,GATE_FAIL,SPREAD>-0.002,,
3619,67.130830,53.182346,tile_RA67.679_DECp53.303,True,0.077,tile_RA67.679_DECp53.303:4476,GATE_PASS,,PRE_S0,not_in_stage_S0
3707,68.153534,41.880096,tile_RA68.686_DECp42.292,False,259.29,,NO_MATCH,,,"circle_cut (dist_from_center=34.25' pre_sep=0.45"")"
3489,69.366520,59.220135,tile_RA69.157_DECp59.308,True,0.783,tile_RA69.157_DECp59.308:5598,GATE_FAIL,SPREAD>-0.002,,
3638,69.061630,47.647137,tile_RA69.197_DECp47.285,True,0.399,tile_RA69.197_DECp47.285:10555,GATE_FAIL,SPREAD>-0.002,,
3632,69.187584,47.908726,tile_RA69.197_DECp48.285,True,0.484,tile_RA69.197_DECp48.285:1624,GATE_FAIL,SPREAD>-0.002,,
3611,69.514336,49.160780,tile_RA69.197_DECp49.285,True,0.369,tile_RA69.197_DECp49.285:4561,GATE_FAIL,SPREAD>-0.002,,
3584,69.338250,52.206420,tile_RA69.392_DECp52.303,True,0.460,tile_RA69.392_DECp52.303:4776,GATE_PASS,,S0M,spread_snr=13.2>5.0
3669,70.279205,40.920155,tile_RA70.038_DECp41.292,True,0.501,tile_RA70.038_DECp41.292:2041,GATE_FAIL,ELONG<1.3;SPREAD>-0.002,,
3648,70.498090,42.711758,tile_RA70.038_DECp42.292,False,146.78,,NO_MATCH,,,"circle_cut (dist_from_center=32.38' pre_sep=0.43"")"
3560,70.771720,50.771465,tile_RA70.700_DECp50.285,True,0.603,tile_RA70.700_DECp50.285:15214,GATE_FAIL,SPREAD>-0.002,,
3528,70.729540,54.055912,tile_RA71.106_DECp54.303,True,0.268,tile_RA71.106_DECp54.303:3470,GATE_FAIL,ELONG<1.3;SPREAD>-0.002,,
3660,71.460434,37.379616,tile_RA71.175_DECp37.260,True,0.291,tile_RA71.175_DECp37.260:5159,GATE_FAIL,SPREAD>-0.002,,
3622,71.110380,43.666310,tile_RA71.390_DECp43.292,True,0.532,tile_RA71.390_DECp43.292:14187,GATE_PASS,,S0M,fwhm_ratio=1.617>1.5;spread_snr=19.8>5.0
3567,71.485985,48.598907,tile_RA72.203_DECp48.285,False,263.79,,NO_MATCH,,,"circle_cut (dist_from_center=34.19' pre_sep=0.08"")"
3661,72.139946,34.483944,tile_RA72.415_DECp34.260,True,0.536,tile_RA72.415_DECp34.260:4420,GATE_FAIL,SPREAD>-0.002,,
3649,72.278730,36.049538,tile_RA72.415_DECp36.260,True,0.487,tile_RA72.415_DECp36.260:2472,GATE_FAIL,SPREAD>-0.002,,
3465,73.330864,54.314587,tile_RA72.820_DECp54.303,True,0.195,tile_RA72.820_DECp54.303:7316,GATE_FAIL,SPREAD>-0.002,,
3353,74.705110,66.961480,tile_RA73.515_DECp67.318,False,330.69,,NO_MATCH,,,"circle_cut (dist_from_center=35.03' pre_sep=0.41"")"
3600,73.784730,36.069386,tile_RA73.655_DECp36.260,True,0.226,tile_RA73.655_DECp36.260:2948,GATE_FAIL,SPREAD>-0.002,,
3601,73.799810,35.872868,tile_RA73.655_DECp36.260,True,0.238,tile_RA73.655_DECp36.260:1102,GATE_PASS,,S4S,elongation=1.230>1.1;circularity=0.164<0.8
3572,74.677780,36.489950,tile_RA74.895_DECp36.260,True,0.125,tile_RA74.895_DECp36.260:8071,GATE_FAIL,SPREAD>-0.002,,
3486,76.336790,40.788620,tile_RA76.216_DECp41.191,True,0.200,tile_RA76.216_DECp41.191:1872,GATE_PASS,,S4S,elongation=1.169>1.1;circularity=0.638<0.8
3493,75.534836,43.214867,tile_RA76.216_DECp43.191,True,0.265,tile_RA76.216_DECp43.191:10728,GATE_FAIL,SPREAD>-0.002,,
3444,78.169395,44.117980,tile_RA77.565_DECp44.191,True,0.315,tile_RA77.565_DECp44.191:8048,GATE_FAIL,2<FWHM<7;SPREAD>-0.002,,
3446,77.438730,46.963882,tile_RA77.737_DECp47.170,True,0.334,tile_RA77.737_DECp47.170:5145,GATE_PASS,,S4S,circularity=0.360<0.8
3452,77.150930,47.144710,tile_RA77.737_DECp47.170,True,0.563,tile_RA77.737_DECp47.170:8112,GATE_FAIL,SPREAD>-0.002,,
3339,79.113070,58.783127,tile_RA78.222_DECp59.159,False,359.51,,NO_MATCH,,,"circle_cut (dist_from_center=35.61' pre_sep=0.37"")"
3429,80.591730,31.218666,tile_RA80.674_DECp31.131,True,0.415,tile_RA80.674_DECp31.131:6260,GATE_PASS,,S4S,profile_diff=0.0644>0.05;elongation=1.169>1.1;circularity=0.663<0.8
3417,81.381810,29.648605,tile_RA81.830_DECp30.131,False,437.92,,NO_MATCH,,,"circle_cut (dist_from_center=37.17' pre_sep=0.15"")"
3388,81.929980,31.581707,tile_RA81.830_DECp31.131,True,0.428,tile_RA81.830_DECp31.131:9574,GATE_FAIL,ELONG<1.3,,
3306,82.779770,48.132114,tile_RA82.235_DECp48.170,True,0.291,tile_RA82.235_DECp48.170:7044,GATE_FAIL,SPREAD>-0.002,,
3204,83.479990,73.250600,tile_RA82.855_DECp73.040,True,0.734,tile_RA82.855_DECp73.040:3558,GATE_PASS,,S4S,circularity=0.261<0.8
3194,80.991090,82.236694,tile_RA84.513_DECp82.144,True,0.386,tile_RA84.513_DECp82.144:3821,GATE_PASS,,S4S,circularity=0.764<0.8
3245,85.865410,29.260366,tile_RA85.667_DECp29.061,True,0.323,tile_RA85.667_DECp29.061:7398,GATE_FAIL,SPREAD>-0.002,,
3251,85.790630,28.764412,tile_RA85.667_DECp29.061,True,0.669,tile_RA85.667_DECp29.061:1815,GATE_FAIL,SPREAD>-0.002,,
3256,85.616250,29.348227,tile_RA85.667_DECp29.061,True,0.552,tile_RA85.667_DECp29.061:8243,GATE_FAIL,SPREAD>-0.002,,
3262,85.533420,28.973177,tile_RA85.667_DECp29.061,True,0.554,tile_RA85.667_DECp29.061:4248,GATE_FAIL,SPREAD>-0.002,,
3266,85.408394,29.302797,tile_RA85.667_DECp29.061,True,0.499,tile_RA85.667_DECp29.061:8607,GATE_PASS,,S0M,fwhm_ratio=1.576>1.5;spread_snr=22.4>5.0
3212,86.470010,47.177010,tile_RA86.256_DECp47.051,True,2.402,tile_RA86.256_DECp47.051:7563,GATE_PASS,,S0M,spread_snr=7.4>5.0
3211,86.430145,47.779630,tile_RA86.256_DECp48.051,True,2.446,tile_RA86.256_DECp48.051:2707,GATE_FAIL,SPREAD>-0.002,,
3228,86.348190,30.516348,tile_RA86.822_DECp30.061,False,413.82,,NO_MATCH,,,"circle_cut (dist_from_center=36.73' pre_sep=0.28"")"
4650,10.039765,53.555603,tile_RA9.828_DECp53.794,True,0.807,tile_RA9.828_DECp53.794:3363,GATE_PASS,,S4S,circularity=0.686<0.8
3128,92.120680,-0.298012,tile_RA91.857_DECm0.013,True,0.663,tile_RA91.857_DECm0.013:2150,GATE_FAIL,FLAGS==0,,
3140,91.511284,-0.685598,tile_RA91.857_DECm1.013,True,0.521,tile_RA91.857_DECm1.013:7734,GATE_FAIL,FLAGS==0;SPREAD>-0.002,,
3122,92.498910,-0.333335,tile_RA92.857_DECm0.013,True,0.613,tile_RA92.857_DECm0.013:1905,GATE_FAIL,ELONG<1.3,,
3120,92.622690,-0.825467,tile_RA92.857_DECm1.013,True,0.189,tile_RA92.857_DECm1.013:7108,GATE_FAIL,SNR_WIN>30;SPREAD>-0.002,,
3038,97.101944,-1.046527,tile_RA96.856_DECm1.097,True,0.273,tile_RA96.856_DECm1.097:7174,GATE_FAIL,SPREAD>-0.002,,
3003,98.140710,-1.110717,tile_RA97.856_DECm1.097,True,0.362,tile_RA97.856_DECm1.097:5795,GATE_FAIL,SPREAD>-0.002,,
3013,97.813705,-1.558841,tile_RA97.856_DECm1.097,True,0.245,tile_RA97.856_DECm1.097:491,GATE_FAIL,SPREAD>-0.002,,
3014,97.752070,-1.014265,tile_RA97.856_DECm1.097,True,0.466,tile_RA97.856_DECm1.097:6869,GATE_FAIL,SNR_WIN>30;SPREAD>-0.002,,
