src_id,ra,dec,has_gsc_match,best_sep_arcsec,gsc2_id,source_chunk
tile_RA0.353_DECp48.807:1371,0.8365021709,48.4507641216,1,4.727798,NAH5008145,stage_S4S_SHAPE.csv
tile_RA0.353_DECp48.807:3225,0.853942533,48.6355599176,0,,,stage_S4S_SHAPE.csv
tile_RA10.507_DECp46.796:2757,10.5048009109,46.6721550759,0,,,stage_S4S_SHAPE.csv
tile_RA10.507_DECp49.796:4637,10.4172676648,49.7671922538,0,,,stage_S4S_SHAPE.csv
tile_RA103.237_DECp47.813:2275,103.826748727,47.6785986948,1,4.858411,N8Q4016219,stage_S4S_SHAPE.csv
tile_RA104.726_DECp49.813:5435,105.3151734436,49.8486249293,0,,,stage_S4S_SHAPE.csv
tile_RA106.215_DECp47.813:1112,105.8595842401,47.5255604457,1,4.800567,N8Q7001875,stage_S4S_SHAPE.csv
tile_RA107.704_DECp47.813:1244,107.6486901964,47.5544028214,1,4.273974,N8Q1016141,stage_S4S_SHAPE.csv
tile_RA111.699_DECp46.700:1926,111.5335961503,47.1039249691,1,3.631051,N8V3005703,stage_S4S_SHAPE.csv
tile_RA111.699_DECp48.700:1122,111.412132526,48.4708354029,0,,,stage_S4S_SHAPE.csv
tile_RA111.699_DECp48.700:3576,111.8130519466,48.7508721183,0,,,stage_S4S_SHAPE.csv
tile_RA113.185_DECp46.700:3145,112.7709951622,46.8455744843,1,1.083483,N8V0068341,stage_S4S_SHAPE.csv
tile_RA116.156_DECp47.700:2970,115.9765975614,47.8294565553,0,,,stage_S4S_SHAPE.csv
tile_RA121.625_DECp45.593:2186,120.99565541,45.6848281056,1,4.791792,N8TN011214,stage_S4S_SHAPE.csv
tile_RA123.108_DECp48.593:1893,122.9822835516,48.7697095037,0,,,stage_S4S_SHAPE.csv
tile_RA124.591_DECp47.593:1540,124.7452550425,47.908057407,0,,,stage_S4S_SHAPE.csv
tile_RA128.570_DECp47.494:412,128.1760800244,47.1287854639,0,,,stage_S4S_SHAPE.csv
tile_RA128.570_DECp48.494:822,128.7367658744,48.2910938416,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp45.494:93,130.0390319926,45.0246308121,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp45.494:557,130.3711998499,45.2259844725,1,4.976644,N9CQ011069,stage_S4S_SHAPE.csv
tile_RA130.050_DECp45.494:915,129.9459433029,45.3680744165,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp45.494:2117,129.4964963808,45.6300091439,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp48.494:451,130.2958267418,48.1661350591,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp48.494:1506,130.3637932119,48.8115240216,1,4.814991,N9C4014016,stage_S4S_SHAPE.csv
tile_RA131.530_DECp46.494:253,131.6713395373,46.0896068577,1,4.230962,N9DN009077,stage_S4S_SHAPE.csv
tile_RA131.530_DECp46.494:1709,131.7632107569,46.7710516683,0,,,stage_S4S_SHAPE.csv
tile_RA138.459_DECp45.407:946,138.887290529,45.3075986959,0,,,stage_S4S_SHAPE.csv
tile_RA138.459_DECp46.407:468,137.9348814419,46.1967320208,0,,,stage_S4S_SHAPE.csv
tile_RA138.459_DECp47.407:252,138.9671270654,47.068290124,0,,,stage_S4S_SHAPE.csv
tile_RA139.937_DECp47.407:1072,140.2983452224,47.6695068488,1,4.168794,N9C8002125,stage_S4S_SHAPE.csv
tile_RA141.415_DECp47.407:629,141.4103895541,47.8963624868,0,,,stage_S4S_SHAPE.csv
tile_RA145.381_DECp46.333:1405,145.3381991366,46.5730191464,0,,,stage_S4S_SHAPE.csv
tile_RA145.381_DECp46.333:1596,144.8173282714,46.4559471174,0,,,stage_S4S_SHAPE.csv
tile_RA145.381_DECp46.333:1803,146.0581283175,46.3677185679,1,4.334040,N95M056556,stage_S4S_SHAPE.csv
tile_RA146.856_DECp46.333:1043,146.3453020205,46.2775299348,0,,,stage_S4S_SHAPE.csv
tile_RA146.856_DECp46.333:1688,146.3484892317,46.2831463336,0,,,stage_S4S_SHAPE.csv
tile_RA146.856_DECp49.333:1077,146.8167867256,49.2866313892,0,,,stage_S4S_SHAPE.csv
tile_RA148.332_DECp47.333:76,148.3918785124,46.8678261914,0,,,stage_S4S_SHAPE.csv
tile_RA148.332_DECp48.333:481,147.7538323742,48.0720241012,1,4.115580,N96L004601,stage_S4S_SHAPE.csv
tile_RA152.296_DECp47.274:941,151.8775720784,47.2042325314,0,,,stage_S4S_SHAPE.csv
tile_RA152.296_DECp47.274:949,151.8819518147,47.2013368597,0,,,stage_S4S_SHAPE.csv
tile_RA153.769_DECp47.274:261,154.0068294888,46.934470762,1,4.585188,N99G008682,stage_S4S_SHAPE.csv
tile_RA155.243_DECp46.274:300,155.648647069,46.0161362821,0,,,stage_S4S_SHAPE.csv
tile_RA155.243_DECp48.274:996,155.0501774907,48.6333395178,0,,,stage_S4S_SHAPE.csv
tile_RA155.243_DECp49.274:167,154.9881393283,48.8712099664,0,,,stage_S4S_SHAPE.csv
tile_RA27.764_DECp49.722:985,27.3973779116,49.3486459858,0,,,stage_S4S_SHAPE.csv
tile_RA3.390_DECp48.807:2735,3.1001178794,48.5875855598,0,,,stage_S4S_SHAPE.csv
tile_RA303.213_DECp55.457:10452,302.9060961242,55.8221952474,0,,,stage_S4S_SHAPE.csv
tile_RA306.653_DECp55.457:9569,306.7709080941,55.5682460494,1,4.282433,N11P034041,stage_S4S_SHAPE.csv
tile_RA314.550_DECp55.561:6981,315.2899484064,55.8010982756,0,,,stage_S4S_SHAPE.csv
tile_RA316.274_DECp53.561:2901,317.103795453,53.590336388,0,,,stage_S4S_SHAPE.csv
tile_RA34.866_DECp47.660:6684,35.5199845698,47.8174499314,1,4.936192,NBZR005285,stage_S4S_SHAPE.csv
tile_RA34.866_DECp49.660:4723,35.4087135487,49.5637853474,0,,,stage_S4S_SHAPE.csv
tile_RA346.990_DECp54.771:3524,346.335553185,54.4459843407,0,,,stage_S4S_SHAPE.csv
tile_RA44.983_DECp46.583:7768,44.4911437721,46.8108747682,1,4.544989,NCJG041350,stage_S4S_SHAPE.csv
tile_RA46.495_DECp47.583:8584,45.928874597,47.8558340062,0,,,stage_S4S_SHAPE.csv
tile_RA60.639_DECp49.394:4564,60.6774237856,49.2815476152,0,,,stage_S4S_SHAPE.csv
tile_RA69.197_DECp47.285:6717,68.8151558492,47.4595766722,0,,,stage_S4S_SHAPE.csv
tile_RA69.197_DECp48.285:6819,69.3794753627,48.3070967811,0,,,stage_S4S_SHAPE.csv
tile_RA7.471_DECp48.796:2573,7.7878999305,48.5676519788,0,,,stage_S4S_SHAPE.csv
tile_RA79.236_DECp47.170:8230,78.531096819,47.2973539171,0,,,stage_S4S_SHAPE.csv
tile_RA8.989_DECp47.796:3881,8.3340466758,47.7674593966,0,,,stage_S4S_SHAPE.csv
tile_RA8.989_DECp47.796:4149,9.4620686997,47.8170079195,0,,,stage_S4S_SHAPE.csv
tile_RA8.989_DECp49.796:3342,8.6976508312,49.6146371766,1,4.918899,NAIG014296,stage_S4S_SHAPE.csv
tile_RA84.760_DECp48.051:314,84.8198838,47.5762369368,1,4.807508,NAO9004507,stage_S4S_SHAPE.csv
tile_RA86.256_DECp48.051:4981,85.5968904357,47.9678467078,0,,,stage_S4S_SHAPE.csv
tile_RA96.249_DECp49.931:2798,95.8436909535,49.8648668788,0,,,stage_S4S_SHAPE.csv
tile_RA97.742_DECp46.931:5089,98.2678661265,47.1052103126,0,,,stage_S4S_SHAPE.csv
tile_RA97.742_DECp46.931:5960,98.1541736471,46.9796560495,0,,,stage_S4S_SHAPE.csv
tile_RA99.234_DECp47.931:3784,99.0847508025,48.2835043685,1,4.355904,N8P4019561,stage_S4S_SHAPE.csv
